saddle_gamma,saddle_proj,flow_i1_gamma,flow_i1_proj,flow_i2_gamma,flow_i2_proj,flow_1_gamma,flow_1_proj,flow_2_gamma,flow_2_proj,flow_sgd1_gamma,flow_sgd1_proj,flow_sgd2_gamma,flow_sgd2_proj,flow_adam1_gamma,flow_adam1_proj,flow_adam2_gamma,flow_adam2_proj
9.381384558082573e-14,-1.5892388552677712,4.242640687119376,-1.542642190551781,4.2426406871189055,0.4573578094482189,4.242640687119376,-1.542642190551781,4.2426406871189055,0.4573578094482189,4.242640687119376,-1.542642190551781,4.2426406871189055,0.4573578094482189,4.242640687119376,-1.542642190551781,4.2426406871189055,0.4573578094482189
0.18385326684531444,-1.3045819421974887,4.279477361665976,-0.9073349955775956,4.902326490452461,3.144748216409332,4.467073271308857,-0.8608693386831406,5.370677627954764,3.123071904593604,4.092106122685428,-0.8639131784491969,8.031324272913634,2.732920106339509,4.819738844913493,-0.8392263234714753,7.080693156397926,2.8230418495614003
0.31382183471414926,-1.0244343238849385,4.36399152908739,-0.9056636799789762,5.119747619499922,3.1987286088437883,4.740448882842475,-0.8478610613299131,5.907310294051902,2.9995629872090337,4.0953891652035415,-0.8846438818411904,9.27590781495698,2.6461645079665157,5.154970212605541,-0.8249877359027048,8.25761986166886,2.7112898037583393
0.3905985327997564,-0.8094951710984133,4.462723961172495,-0.9001515078308523,5.318541257552015,3.140558005327882,5.028041678525308,-0.8360698908256465,6.416672349690767,2.911113142778177,4.0920428849600325,-0.8684475218710923,10.122428801690221,2.6055746546584944,5.402352517281159,-0.8150632564795627,9.065563606674196,2.6604772759625592
0.42975769964305477,-0.6854428887827891,4.57736898868713,-0.8938630203723295,5.5387414140937405,3.0831495540706726,5.331878455488436,-0.8253286751606921,6.915130411969501,2.842722629713695,4.092944324814856,-0.8664696526264805,10.779821060695877,2.577144918323084,5.596757985482475,-0.8105572936130881,9.695015827356706,2.625550435178794
0.44896256508126164,-0.6277444662914023,4.709236384811709,-0.8870839617910902,5.780297468220525,3.028318612051196,5.65385559037258,-0.8155024239559988,7.413903443552277,2.7870898077910384,4.092167067712739,-0.8636219228004889,11.323674695601605,2.5595874418260443,5.755064351444354,-0.8079149442083211,10.217280361134565,2.600901923440249
0.4607745139613364,-0.5994050777170242,4.859490561928057,-0.8799169026883031,6.042843051653048,2.976472787304164,5.99577807039806,-0.8064852616096112,7.921030729180752,2.740302968577317,4.092447328519475,-0.8620142551192451,11.790983459136346,2.544864842018069,5.88740931341443,-0.805628551495483,10.666850728755648,2.583634788308453
0.47173310750273273,-0.5776199613915882,5.0291714078070076,-0.8724719285811355,6.326174158117946,2.9278227088857243,6.359407023850773,-0.7981877434078688,8.442807672475281,2.6999578420534456,4.091287276710351,-0.8521154012733805,12.202084479160519,2.5325475944912905,5.999989035650977,-0.8002042351014136,11.06321630223033,2.5678437615674414
0.4841962651220086,-0.5540877353051259,5.219201466286256,-0.864862103265678,6.630328773445543,2.8823792860912345,6.746524819390931,-0.7905365768013695,8.984315395245087,2.664578405022854,4.094658271393318,-0.855031586319929,12.570633596054261,2.5234989532764986,6.097214925762524,-0.7950288269185395,11.419491093700586,2.556789935397489
0.4986575989012422,-0.526896224098319,5.430402283045131,-0.8571978384498065,6.955596344910084,2.8400939572583073,7.15891928024705,-0.7834700180445151,9.5499614262628,2.6331232793765964,4.094355906275404,-0.8674389395715427,12.905348412490186,2.516076527727009,6.1819558173093885,-0.7918198913989978,11.743270868244977,2.544393227277987
0.5149938365426947,-0.4957421184337551,5.663541226428684,-0.8495785616936753,7.302505762435716,2.8008005594560608,7.598444616926964,-0.7769338612566988,10.14377285653253,2.6048975639293843,4.092842041379104,-0.8631183224216304,13.212118030316017,2.5064928372311153,6.256266119976187,-0.7942707272129705,12.041172037313498,2.5368032538566507
0.5328019850350014,-0.46061910861511934,5.919349020773323,-0.8420880357760251,7.671851927729264,2.7643436352003925,8.067003035217148,-0.7708817547575921,10.769449835625053,2.5793743176041115,4.093637407590165,-0.8631841898058583,13.495763675836743,2.4993160826981597,6.322009119287647,-0.7956166636024045,12.317187284465142,2.5297491138252433
0.5514797185510545,-0.4216068658664029,6.198549765997884,-0.8347949829820814,8.064582781100416,2.7305284099740588,8.566592489514163,-0.7652731451092721,11.430626123960193,2.5561587596575666,4.0931300891110585,-0.8504472604904793,13.760016616624146,2.4941263425664615,6.380309810996048,-0.7923334715102599,12.57465969965066,2.5242560847346898
